10yardj.zip,10-Yard Fight (Japan),Irem
1941j.zip,1941: Counter Attack (Japan),Capcom
1942abl.zip,1942 (Revision A, bootleg),bootleg
1942p.zip,1942 (Tecfri PCB, bootleg?),bootleg
1943b.zip,1943: Battle of Midway (bootleg, hack of Japan set),bootleg
1943bj.zip,1943: Midway Kaisen (bootleg),bootleg
1943j.zip,1943: Midway Kaisen (Japan, Rev B),Capcom
1943ja.zip,1943: Midway Kaisen (Japan),Capcom
1943kai.zip,1943 Kai: Midway Kaisen (Japan),Capcom
1944d.zip,1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg),bootleg
1944j.zip,1944: The Loop Master (Japan 000620),Eighting / Raizing (Capcom license)
19in1.zip,19 in 1 MAME bootleg,bootleg
19xxd.zip,19XX: The War Against Destiny (USA 951207 Phoenix Edition) (bootleg),bootleg
19xxj.zip,19XX: The War Against Destiny (Japan 960104, yellow case),Capcom
19xxjr1.zip,19XX: The War Against Destiny (Japan 951225),Capcom
19xxjr2.zip,19XX: The War Against Destiny (Japan 951207),Capcom
1on1gov.zip,1 on 1 Government (Japan),Tecmo
39in1.zip,39 in 1 MAME bootleg,bootleg
3kokushi.zip,Sankokushi (Japan),Mitchell
3wishrd.zip,Three Wishes Red (Russia) (Atronic),Atronic
3wondersb.zip,Three Wonders (bootleg),bootleg
3wondersh.zip,Three Wonders (hack),bootleg
48in1.zip,48 in 1 MAME bootleg (set 1, ver 3.09),bootleg
48in1a.zip,48 in 1 MAME bootleg (set 3, ver 3.02),bootleg
48in1b.zip,48 in 1 MAME bootleg (set 2, ver 3.09, alt flash),bootleg
4in1a.zip,4 in 1 MAME bootleg (set 1, ver 3.00),bootleg
4in1b.zip,4 in 1 MAME bootleg (set 2),bootleg
4psimasy.zip,Mahjong 4P Simasyo (Japan),Sphinx / AV Japan
5acespkr.zip,5-Aces Poker,<unknown>
5clownsp.zip,Five Clown (Spanish hack),IGS
60in1.zip,60 in 1 MAME bootleg (ver 3.00),bootleg
64streetj.zip,64th. Street - A Detective Story (Japan, set 1),Jaleco
64streetja.zip,64th. Street - A Detective Story (Japan, set 2),Jaleco
720g.zip,720 Degrees (German, rev 2),Atari Games
720gr1.zip,720 Degrees (German, rev 1),Atari Games
7jigen.zip,7jigen no Youseitachi - Mahjong 7 Dimensions (Japan),Dynax
7ordi.zip,7 Ordi (Korea),Yun Sung
