005.zip,005,Sega
100lions.zip,100 Lions (10219211, NSW/ACT),Aristocrat
10yard.zip,10-Yard Fight (World, set 1),Irem
10yard85.zip,10-Yard Fight '85 (US, Taito license),Irem (Taito license)
11beat.zip,Eleven Beat,Hudson
18w.zip,18 Wheeler (set 1),Midway
18w2.zip,18 Wheeler (set 2),Midway
18wheelr.zip,18 Wheeler (deluxe) (Rev A),Sega
18wheels.zip,18 Wheeler (standard),Sega
18wheelu.zip,18 Wheeler (upright),Sega
1941.zip,1941: Counter Attack (World 900227),Capcom
1941r1.zip,1941: Counter Attack (World),Capcom
1941u.zip,1941: Counter Attack (USA 900227),Capcom
1942.zip,1942 (Revision B),Capcom
1942a.zip,1942 (Revision A),Capcom
1942b.zip,1942 (First Version),Capcom
1942h.zip,Supercharger 1942,hack (Two Bit Score)
1942w.zip,1942 (Williams Electronics license),Capcom (Williams Electronics license)
1943.zip,1943: The Battle of Midway (Euro),Capcom
1943u.zip,1943: The Battle of Midway (US, Rev C),Capcom
1943ua.zip,1943: The Battle of Midway (US),Capcom
1944.zip,1944: The Loop Master (USA 000620),Eighting / Raizing (Capcom license)
1945kiii.zip,1945k III (newer, OPCX2 PCB),Oriental Soft
1945kiiio.zip,1945k III (older, OPCX1 PCB),Oriental Soft
19xx.zip,19XX: The War Against Destiny (USA 951207),Capcom
19xxa.zip,19XX: The War Against Destiny (Asia 960104),Capcom
19xxar1.zip,19XX: The War Against Destiny (Asia 951207),Capcom
19xxb.zip,19XX: The War Against Destiny (Brazil 951218),Capcom
19xxh.zip,19XX: The War Against Destiny (Hispanic 951218),Capcom
2020bb.zip,2020 Super Baseball (set 1),SNK / Pallas
2020bba.zip,2020 Super Baseball (set 2),SNK / Pallas
2020bbh.zip,2020 Super Baseball (set 3),SNK / Pallas
20pacgal.zip,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.08),Namco / Cosmodog
20pacgalr0.zip,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.00),Namco / Cosmodog
20pacgalr1.zip,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.01),Namco / Cosmodog
20pacgalr2.zip,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.02),Namco / Cosmodog
20pacgalr3.zip,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.03),Namco / Cosmodog
20pacgalr4.zip,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.04),Namco / Cosmodog
22vp931.zip,Phillips 22VP931,Namco / Cosmodog
22vp932.zip,Phillips 22VP932,Namco / Cosmodog
24_130.zip,24 v1.30,Stern
24_140.zip,24 v1.40,Stern
24_144.zip,24 v1.44,Stern
24_150.zip,24 v1.50,Stern
24cdjuke.zip,Midcoin Juke Box 24CD,Midcoin
25pacman.zip,Pac-Man - 25th Anniversary Edition (Rev 3.00),Namco / Cosmodog
25pacmano.zip,Pac-Man - 25th Anniversary Edition (Rev 2.00),Namco / Cosmodog
2804.zip,Parallel EEPROM 2804 (512x8),Namco / Cosmodog
280zzzap.zip,280-ZZZAP,Dave Nutting Associates / Midway
2816.zip,Parallel EEPROM 2816 (2048x8),Dave Nutting Associates / Midway
2864.zip,Parallel EEPROM 2864 (8192x8),Dave Nutting Associates / Midway
2mindril.zip,Two Minute Drill,Taito
2spicy.zip,2 Spicy,Sega
30test.zip,30 Test (Remake),Namco
315_5296.zip,Sega 315-5296 I/O,Namco
3bagflnz.zip,3 Bags Full (3VXFC5345, New Zealand),Aristocrat
3bagflvt.zip,3 Bags Full (5VXFC790, Victoria),Aristocrat
3countb.zip,3 Count Bout / Fire Suplex (NGM-043 ~ NGH-043),SNK
3dobios.zip,3DO Bios,The 3DO Company
3in1semi.zip,New HyperMan (3-in-1 with Cookie & Bibi & HyperMan),SemiCom / XESS
3lilpigs.zip,3 Lil' Pigs,Doyle & Assoc.
3on3dunk.zip,3 On 3 Dunk Madness (US, prototype? 1997/02/04),Video System Co.
3stooges.zip,The Three Stooges In Brides Is Brides (set 1),Mylstar
3stoogesa.zip,The Three Stooges In Brides Is Brides (set 2),Mylstar
3super8.zip,3 Super 8 (Italy),<unknown>
3wonders.zip,Three Wonders (World 910520),Capcom
3wondersr1.zip,Three Wonders (World 910513),Capcom
3wondersu.zip,Three Wonders (USA 910520),Capcom
3x3puzzl.zip,3X3 Puzzle (Enterprise),Ace Enterprise
3x3puzzla.zip,3X3 Puzzle (Normal),Ace Enterprise
40love.zip,Forty-Love,Taito Corporation
47pie2.zip,Idol Janshi Su-Chi-Pie 2 (v1.1),Jaleco
47pie2o.zip,Idol Janshi Su-Chi-Pie 2 (v1.0),Jaleco
4dwarrio.zip,4-D Warriors (315-5162),Coreland / Sega
4enlinea.zip,Cuatro en Linea,Compumatic
4enlinea_cga.zip,ISA8_CGA_4ENLINEA,Compumatic
4enraya.zip,4 En Raya (set 1),IDSA
4enrayaa.zip,4 En Raya (set 2),IDSA
4in1.zip,4 Fun in 1,Armenia / Food and Fun
4in1boot.zip,Puzzle King (PacMan 2, Tetris, HyperMan 2, Snow Bros.),K1 Soft
4roses.zip,Four Roses (encrypted, set 1),<unknown>
4rosesa.zip,Four Roses (encrypted, set 2),<unknown>
500gp.zip,500 GP (5GP3 Ver. C),Namco
50lionr.zip,50 Lions - Roaring Riches (20301311, NSW/ACT),Aristocrat
50lions.zip,50 Lions (10120511, NSW/ACT),Aristocrat
50lionsa.zip,50 Lions (10156111, Malaysia),Aristocrat
56xx.zip,Namco 56xx,Aristocrat
58xx.zip,Namco 58xx,Aristocrat
59xx.zip,Namco 59xx,Aristocrat
5a22.zip,5A22,Aristocrat
5clown.zip,Five Clown (English, set 1),IGS
5clowna.zip,Five Clown (English, set 2),IGS
5draga.zip,5 Dragons (20161011, NSW/ACT),Aristocrat
5dragons.zip,5 Dragons (20161011, NSW/ACT, Show Program),Aristocrat
5koipp.zip,5 Koi - Power Pay (10250711, NSW/ACT),Aristocrat
600.zip,600,Konami
64street.zip,64th. Street - A Detective Story (World),Jaleco
720.zip,720 Degrees (rev 4),Atari Games
720r1.zip,720 Degrees (rev 1),Atari Games
720r2.zip,720 Degrees (rev 2),Atari Games
720r3.zip,720 Degrees (rev 3),Atari Games
74148.zip,74148 TTL,Atari Games
74153.zip,74153 TTL,Atari Games
7474.zip,7474 TTL,Atari Games
7mezzo.zip,7 e Mezzo,<unknown>
7smash.zip,7 Smash,Sovic
7toitsu.zip,Chi-Toitsu,Yuga
800fath.zip,800 Fathoms,Amenip (US Billiards Inc. license)
86lions.zip,86 Lions,Aristocrat
88games.zip,'88 Games,Konami
8ball.zip,Video Eight Ball,Century Electronics
8ball1.zip,Video Eight Ball (Rev.1),Century Electronics
8ballact.zip,Eight Ball Action (DK conversion),Seatongrove Ltd (Magic Electronics USA license)
8ballact2.zip,Eight Ball Action (DKJr conversion),Seatongrove Ltd (Magic Electronics USA license)
8bpm.zip,Eight Ball Action (Pac-Man conversion),Seatongrove Ltd (Magic Electronics USA license)
93c46_16.zip,Serial EEPROM 93C46 (64x16),Seatongrove Ltd (Magic Electronics USA license)
93c46_8.zip,Serial EEPROM 93C46 (128x8),Seatongrove Ltd (Magic Electronics USA license)
93c56_16.zip,Serial EEPROM 93C56 (128x16),Seatongrove Ltd (Magic Electronics USA license)
93c56_8.zip,Serial EEPROM 93C56 (256x8),Seatongrove Ltd (Magic Electronics USA license)
93c66_16.zip,Serial EEPROM 93C66 (256x16),Seatongrove Ltd (Magic Electronics USA license)
93c66_8.zip,Serial EEPROM 93C66 (512x8),Seatongrove Ltd (Magic Electronics USA license)
93c76_8.zip,Serial EEPROM 93C76 (1024x8),Seatongrove Ltd (Magic Electronics USA license)
99bottles.zip,99 Bottles of Beer,Bally Gaming Co.
99lstwar.zip,'99: The Last War (set 1),Crux / Proma
99lstwara.zip,'99: The Last War (set 2),Crux / Proma
99lstwark.zip,'99: The Last War (Kyugo),Crux / Kyugo
9ballsht.zip,9-Ball Shootout (set 1),E-Scape EnterMedia (Bundra license)
9ballsht2.zip,9-Ball Shootout (set 2),E-Scape EnterMedia (Bundra license)
9ballsht3.zip,9-Ball Shootout (set 3),E-Scape EnterMedia (Bundra license)
9ballshtc.zip,9-Ball Shootout Championship,E-Scape EnterMedia (Bundra license)
a51mxr3k.zip,Area 51 / Maximum Force Duo (R3000),Atari Games
a51site4.zip,Area 51: Site 4 (HD Rev 2.01, September 7, 1998),Atari Games
a51site4a.zip,Area 51: Site 4 (HD Rev 2.0, September 11, 1998),Atari Games
aadvent.zip,African Adventure (Konami Endeavour),Konami
aafb.zip,All American Football (rev E),Leland Corp.
aafbb.zip,All American Football (rev B),Leland Corp.
aafbc.zip,All American Football (rev C),Leland Corp.
aafbd2p.zip,All American Football (rev D, 2 Players),Leland Corp.
aakart.zip,AAKART,Leland Corp.
aar_101.zip,Aaron Spelling (1.01),Data East
aavenger.zip,Airborne Avenger,Atari
abacus.zip,Abacus (Ver 1.0),<unknown>
abaseb.zip,Atari Baseball (set 1),Atari
abaseb2.zip,Atari Baseball (set 2),Atari
abattle.zip,Astro Battle (set 1),bootleg? (Sidam)
abattle2.zip,Astro Battle (set 2),bootleg? (Sidam)
abclimax.zip,After Burner Climax (Export),Sega
abcop.zip,A.B. Cop (World) (FD1094 317-0169b),Sega
abnudge.zip,Animal Bonus Nudge (Version 2.1 Dual),Amcoe
abnudgeb.zip,Animal Bonus Nudge (Version 2.0, set 1),Amcoe
abnudged.zip,Animal Bonus Nudge (Version 2.0, set 2),Amcoe
abnudgeo.zip,Animal Bonus Nudge (Version 1.7),Amcoe
abscam.zip,Abscam,GL (US Billiards license)
aburner.zip,After Burner,Sega
aburner2.zip,After Burner II,Sega
abv106.zip,Airborne,Capcom
abv106r.zip,Airborne (Redemption),Capcom
ace.zip,Ace,Allied Leisure
aceattac.zip,Ace Attacker (FD1094 317-0059),Sega
acedrvrw.zip,Ace Driver: Racing Evolution (Rev. AD2),Namco
acefruit.zip,Silhouette,ACE
acheart.zip,Arcana Heart,Examu
acheartf.zip,Arcana Heart Full,Examu
acia6850.zip,6850 ACIA,Examu
acitya.zip,Atlantic City Action,Epos Corporation
